symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
ONTO,"ONTO INNOVATION, INC.",Semiconductor Equipment Manufacturer,US,2022,Q2,https://lda.senate.gov/filings/public/filing/d5f4d921-ed8b-4917-ae4d-a28bcfeabe16/print/,30000,,,,209960,55256,55256-209960,35122
ONTO,"ONTO INNOVATION, INC.",Semiconductor Equipment Manufacturer,US,2022,Q3,https://lda.senate.gov/filings/public/filing/07c052db-96d6-4a60-9f3d-5783a65836f5/print/,30000,,,,209960,55256,55256-209960,35122
ONTO,"ONTO INNOVATION, INC.",Semiconductor Equipment Manufacturer,US,2022,Q4,https://lda.senate.gov/filings/public/filing/b6dc59c6-81d3-409f-ae4d-c91d83bec095/print/,30000,,,,209960,55256,55256-209960,35122
