symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
TDW,TIDEWATER,A multi-commodity transportation and terminal company.,US,2022,Q2,https://lda.senate.gov/filings/public/filing/1df7e725-adee-4bce-93b2-d4f82109831c/print/,20000,,,,51377,10478,10478-51377,30189
TDW,TIDEWATER,A multi-commodity transportation and terminal company.,US,2022,Q3,https://lda.senate.gov/filings/public/filing/feac0121-d5b1-4f4b-98da-4dfac9f2aed3/print/,20000,,,,51377,10478,10478-51377,30189
TDW,TIDEWATER,A multi-commodity transportation and terminal company.,US,2022,Q4,https://lda.senate.gov/filings/public/filing/39d2c656-f528-4934-a8c7-519e9850b951/print/,20000,,,,51377,10478,10478-51377,30189
