symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
RMBS,CLARK STREET ASSOCIATES ON BEHALF OF RAMBUS,Consulting firm,US,2022,Q2,https://lda.senate.gov/filings/public/filing/4459b6e9-fc9a-4aee-b759-d917491b6ce9/print/,30000,,,,209086,32098,32098-209086,31355
RMBS,CLARK STREET ASSOCIATES ON BEHALF OF RAMBUS,Consulting firm,US,2022,Q3,https://lda.senate.gov/filings/public/filing/ef92156f-3f4d-4115-98be-7744045a23cf/print/,60000,,,,209086,32098,32098-209086,31355
RMBS,CLARK STREET ASSOCIATES ON BEHALF OF RAMBUS,Consulting firm,US,2022,Q4,https://lda.senate.gov/filings/public/filing/3aa8dfc0-e986-4e5d-bd5b-19586f58f754/print/,60000,,,,209086,32098,32098-209086,31355
RMBS,RAMBUS,"Technology company that designs, develops and licenses chip interface technologies.",US,2022,Q2,https://lda.senate.gov/filings/public/filing/b84bd128-0ce2-4a74-9b2a-024ff5736ae9/print/,70000,,,,210776,401105692,401105692-210776,401105692
RMBS,RAMBUS,"Technology company that designs, develops and licenses chip interface technologies.",US,2022,Q3,https://lda.senate.gov/filings/public/filing/8491973c-cdc6-47d7-a56d-b08cfcda4c2a/print/,60000,,,,210776,401105692,401105692-210776,401105692
