symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
JOE,THE ST. JOE COMPANY,Residential and Commercial Real Estate Development Company,US,2022,Q2,https://lda.senate.gov/filings/public/filing/4466d603-3cb1-4f0b-bc6e-e777a1169fe5/print/,20000,,,,165733,72053,72053-165733,35843
JOE,THE ST. JOE COMPANY,Residential and Commercial Real Estate Development Company,US,2022,Q3,https://lda.senate.gov/filings/public/filing/cc54d967-e288-4ccd-8fb0-06a71d4d1868/print/,20000,,,,165733,72053,72053-165733,35843
JOE,THE ST. JOE COMPANY,Residential and Commercial Real Estate Development Company,US,2022,Q4,https://lda.senate.gov/filings/public/filing/2f1bf2fc-80e4-40ec-886d-a4ad59a1652f/print/,20000,,,,165733,72053,72053-165733,35843
