symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
DEN,DENBURY INC.,Energy and Utilities,US,2022,Q2,https://lda.senate.gov/filings/public/filing/c88b8401-3d96-4f97-bd6f-b308411c5225/print/,20000,,,,52324,70175,70175-52324,30174
DEN,DENBURY INC.,Energy and Utilities,US,2022,Q3,https://lda.senate.gov/filings/public/filing/dc21d154-1023-4c36-9a0d-3113d4c18204/print/,20000,,,,52324,70175,70175-52324,30174
DEN,DENBURY INC.,Energy and Utilities,US,2022,Q4,https://lda.senate.gov/filings/public/filing/93599181-6836-4035-9598-df6bd082e9c9/print/,20000,,,,52324,70175,70175-52324,30174
DEN,DENBURY INC.,"Oil and gas development,CO2 transportation,storage, planned sites for carbon sequestration",US,2022,Q4,https://lda.senate.gov/filings/public/filing/12258848-6fea-4ee2-b666-df0ee77aeed2/print/,15000,,,,53719,400886595,400886595-53719,400886595
DEN,DENBURY INC.,Energy Company,US,2022,Q2,https://lda.senate.gov/filings/public/filing/9e887e4d-6d65-4994-a350-45160583609b/print/,40000,,,,210911,18978,18978-210911,30471
DEN,DENBURY INC.,Energy Company,US,2022,Q3,https://lda.senate.gov/filings/public/filing/88707bfe-676e-48a9-a1a2-bedc6069e767/print/,40000,,,,210911,18978,18978-210911,30471
DEN,DENBURY INC.,Energy Company,US,2022,Q4,https://lda.senate.gov/filings/public/filing/1f41d893-748a-48af-975a-d87a27b8a991/print/,40000,,,,210911,18978,18978-210911,30471
