symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
MARA,"MARATHON DIGITAL HOLDINGS, INC.",Cryptocurrency mining,US,2022,Q2,https://lda.senate.gov/filings/public/filing/2107c822-58ff-463d-aed4-2c737e9b3ff0/print/,30000,,,,213187,401105820,401105820-213187,401105820
MARA,"MARATHON DIGITAL HOLDINGS, INC.",Cryptocurrency mining,US,2022,Q3,https://lda.senate.gov/filings/public/filing/f7ce7162-13d2-43e0-ad0e-af2ac85228b9/print/,30000,,,,213187,401105820,401105820-213187,401105820
MARA,"MARATHON DIGITAL HOLDINGS, INC.",Cryptocurrency mining,US,2022,Q4,https://lda.senate.gov/filings/public/filing/5221578a-bdfb-4188-a343-88b72040f957/print/,30000,,,,213187,401105820,401105820-213187,401105820
