symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
BDC,"PPC BROADBAND, INC.",Developer and manufacturer of connectivity solutions for broadband service providers.,US,2022,Q2,https://lda.senate.gov/filings/public/filing/ead2e5dc-25a4-4fd6-943b-be15fa6e2ca3/print/,30000,,,,208037,401104454,401104454-208037,401104454
BDC,"PPC BROADBAND, INC.",Developer and manufacturer of connectivity solutions for broadband service providers.,US,2022,Q3,https://lda.senate.gov/filings/public/filing/eef01322-c79b-40db-a230-3c0f92e4397d/print/,30000,,,,208037,401104454,401104454-208037,401104454
BDC,"PPC BROADBAND, INC.",Developer and manufacturer of connectivity solutions for broadband service providers.,US,2022,Q4,https://lda.senate.gov/filings/public/filing/805e51dd-a059-437e-9c9c-5ea1987a2fdc/print/,30000,,,,208037,401104454,401104454-208037,401104454
