OFG Bancorp,OFG,0.38%
Meritage Homes Corporation,MTH,0.38%
"Advansix, Inc.",ASIX,0.38%
"Merit Medical Systems, Inc.",MMSI,0.38%
Belden Inc.,BDC,0.38%
"Pacific Biosciences of California, Inc.",PACB,0.38%
PacWest Bancorp,PACW,0.38%
"Andersons, Inc.",ANDE,0.38%
"International Money Express, Inc.",IMXI,0.38%
Marinus Pharmaceuticals Inc,MRNS,0.38%
Enova International Inc,ENVA,0.38%
AVITA Medical Inc,RCEL,0.38%
Enviri Corporation,NVRI,0.38%
Terex Corporation,TEX,0.38%
Preformed Line Products Company,PLPC,0.38%
"Energy Recovery, Inc.",ERII,0.38%
"Pathward Financial, Inc.",CASH,0.37%
"Haynes International, Inc.",HAYN,0.37%
"Rush Enterprises, Inc. Class A",RUSHA,0.37%
10x Genomics Inc Class A,TXG,0.37%
Pangaea Logistics Solutions Ltd.,PANL,0.37%
Biohaven Ltd.,BHVN,0.37%
"Inter Parfums, Inc.",IPAR,0.37%
O-I Glass Inc,OI,0.37%
"Samsara, Inc. Class A",IOT,0.37%
"Coca-Cola Consolidated, Inc.",COKE,0.37%
Gogo Inc.,GOGO,0.37%
"ICF International, Inc.",ICFI,0.37%
"Cantaloupe, Inc.",CTLP,0.37%
Northeast Bank,NBN,0.37%
"Tenaya Therapeutics, Inc.",TNYA,0.37%
Diodes Incorporated,DIOD,0.37%
Albany International Corp. Class A,AIN,0.37%
McGrath RentCorp,MGRC,0.36%
"Hostess Brands, Inc. Class A",TWNK,0.36%
Piper Sandler Companies,PIPR,0.36%
Integral Ad Science Holding Corp,IAS,0.36%
"ANI Pharmaceuticals, Inc.",ANIP,0.36%
"Insperity, Inc.",NSP,0.36%
VSE Corporation,VSEC,0.36%
Array Technologies Inc,ARRY,0.36%
"Aldeyra Therapeutics, Inc.",ALDX,0.36%
"NAPCO Security Technologies, Inc.",NSSC,0.36%
Abercrombie & Fitch Co. Class A,ANF,0.36%
"Morphic Holding, Inc.",MORF,0.36%
"Protagonist Therapeutics, Inc.",PTGX,0.36%
Huron Consulting Group Inc.,HURN,0.36%
Standex International Corporation,SXI,0.36%
Altair Engineering Inc. Class A,ALTR,0.36%
Archrock Inc.,AROC,0.36%
Federal Agricultural Mortgage Corporation Class C,AGM,0.36%
"Evolv Technologies Holdings, Inc.",EVLV,0.35%
"Hawkins, Inc.",HWKN,0.35%
"LeMaitre Vascular, Inc.",LMAT,0.35%
"Hovnanian Enterprises, Inc. Class A",HOV,0.35%
"BrightSphere Investment Group, Inc.",BSIG,0.35%
"Bowman Consulting Group, Ltd.",BWMN,0.35%
"4D Molecular Therapeutics, Inc.",FDMT,0.35%
"Dream Finders Homes, Inc. Class A",DFH,0.35%
"C3.ai, Inc. Class A",AI,0.35%
Prothena Corp. Plc,PRTA,0.35%
"ACV Auctions, Inc. Class A",ACVA,0.35%
"Axsome Therapeutics, Inc.",AXSM,0.34%
Winmark Corporation,WINA,0.34%
"Duolingo, Inc. Class A",DUOL,0.34%
"IDEAYA Biosciences, Inc.",IDYA,0.34%
"SI-BONE, Inc.",SIBN,0.34%
"Intapp, Inc.",INTA,0.34%
Consolidated Water Co. Ltd.,CWCO,0.34%
"Hyster-Yale Materials Handling, Inc. Class A",HY,0.34%
Wabash National Corporation,WNC,0.33%
"Cricut, Inc. Class A",CRCT,0.33%
"CVRx, Inc.",CVRX,0.33%
Harmonic Inc.,HLIT,0.33%
Liquidia Corporation,LQDA,0.32%
ZimVie Inc.,ZIMV,0.32%
"MacroGenics, Inc.",MGNX,0.32%
"Rocket Pharmaceuticals, Inc.",RCKT,0.32%
"Yext, Inc.",YEXT,0.3%
"Voyager Therapeutics, Inc.",VYGR,0.27%
"Mayville Engineering Company, Inc.",MEC,0.27%
U.S. Dollar,Other,-0.03%
