symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
STEM,"STEM, INC.",Energy storage aggregator,US,2022,Q2,https://lda.senate.gov/filings/public/filing/55c5c29a-acc5-4ac6-847b-b70134b2fabb/print/,15000,,,,196356,400944730,400944730-196356,400944730
STEM,"STEM, INC.",Energy storage aggregator,US,2022,Q3,https://lda.senate.gov/filings/public/filing/55ebb3de-f0a4-4e92-93e5-40c8d3c2f3bd/print/,15000,,,,196356,400944730,400944730-196356,400944730
STEM,"STEM, INC.",Global leader in AI driven energy storage,US,2022,Q2,https://lda.senate.gov/filings/public/filing/92f40b49-08fc-4a9c-97ce-4f5301eb1ef7/print/,50000,,,,210158,401104556,401104556-210158,401104556
STEM,"STEM, INC.",Global leader in AI driven energy storage,US,2022,Q3,https://lda.senate.gov/filings/public/filing/e1fbd949-f39f-4c09-8280-837ab3987690/print/,50000,,,,210158,401104556,401104556-210158,401104556
