symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
CLMT,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Oil and gas manufacturer.,US,2022,Q2,https://lda.senate.gov/filings/public/filing/b472628f-2cd4-4ba2-8622-e2fbe80294c8/print/,60000,,,,45876,400976792,400976792-45876,400976792
CLMT,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Oil and gas manufacturer.,US,2022,Q3,https://lda.senate.gov/filings/public/filing/fe2a4d2c-3f40-4bb6-aa83-d3705d44d668/print/,60000,,,,45876,400976792,400976792-45876,400976792
CLMT,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Oil and gas manufacturer.,US,2022,Q4,https://lda.senate.gov/filings/public/filing/9bd950f6-06e3-4d28-ae22-4cab4e32b3b0/print/,60000,,,,45876,400976792,400976792-45876,400976792
