symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
BW,"BABCOCK & WILCOX ENTERPRISES, INC.",Energy and enviro technologies and services provider for power and industrial markets.,US,2022,Q2,https://lda.senate.gov/filings/public/filing/7dee384d-817b-40dd-a7de-3bce605312a0/print/,50000,,,,205634,401105417,401105417-205634,401105417
BW,"BABCOCK & WILCOX ENTERPRISES, INC.",Energy and enviro technologies and services provider for power and industrial markets.,US,2022,Q3,https://lda.senate.gov/filings/public/filing/4afc247a-30bd-4998-af23-c5dfdd2cbba0/print/,80000,,,,205634,401105417,401105417-205634,401105417
BW,"BABCOCK & WILCOX ENTERPRISES, INC.",Energy and enviro technologies and services provider for power and industrial markets.,US,2022,Q4,https://lda.senate.gov/filings/public/filing/5183aca3-50b8-4cd1-8b94-2d4d46b24ca6/print/,80000,,,,205634,401105417,401105417-205634,401105417
