symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
PRAA,"PRA GROUP, INC.",Publicly traded global debt buyer,US,2022,Q4,https://lda.senate.gov/filings/public/filing/749ad6d7-b577-41a2-a35f-a0e352556242/print/,20000,,,,53838,7257,7257-53838,31842
PRAA,"PRA GROUP, INC.",Credit recovery company,US,2022,Q2,https://lda.senate.gov/filings/public/filing/72d9d579-b7ca-49b1-a4fd-6456b03ec614/print/,100000,,,,206972,314237,314237-206972,39145
PRAA,"PRA GROUP, INC.",Credit recovery company,US,2022,Q3,https://lda.senate.gov/filings/public/filing/8713bd9a-29d4-4c6d-b457-94c17baa90d9/print/,100000,,,,206972,314237,314237-206972,39145
PRAA,"PRA GROUP, INC.",Credit recovery company,US,2022,Q4,https://lda.senate.gov/filings/public/filing/18fed210-69f7-4d54-b787-5dcd355a8cc4/print/,70000,,,,206972,314237,314237-206972,39145
