symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
ATGE,ADTALEM GLOBAL EDUCATION INC,Education,US,2022,Q2,https://lda.senate.gov/filings/public/filing/93b8269c-f7ce-44a1-9593-5c12f11c7176/print/,60000,,,,154490,47110,47110-154490,34405
ATGE,ADTALEM GLOBAL EDUCATION INC,Education,US,2022,Q3,https://lda.senate.gov/filings/public/filing/aff9b473-1ed3-4b36-84f6-8767fc1bc871/print/,60000,,,,154490,47110,47110-154490,34405
ATGE,ADTALEM GLOBAL EDUCATION INC,Education,US,2022,Q4,https://lda.senate.gov/filings/public/filing/9f3c72ab-664c-44b7-8554-653956394273/print/,60000,,,,154490,47110,47110-154490,34405
