symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
ADTN,ADTRAN,Global provider of networking and communications equipment.,US,2022,Q2,https://lda.senate.gov/filings/public/filing/ced5f077-ca9b-46c9-af48-0230ba33ba9a/print/,30000,,,,197497,401054971,401054971-197497,401054971
ADTN,ADTRAN,Global provider of networking and communications equipment.,US,2022,Q3,https://lda.senate.gov/filings/public/filing/b4f24dfe-23d9-4be9-a109-63dac3c5fb01/print/,30000,,,,197497,401054971,401054971-197497,401054971
ADTN,ADTRAN,Global provider of networking and communications equipment.,US,2022,Q4,https://lda.senate.gov/filings/public/filing/b6512b87-d806-4455-825e-9fc63e8b7788/print/,30000,,,,197497,401054971,401054971-197497,401054971
