symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
EVC,ENTRAVISION COMMUNICATIONS CORPORATION,diversified Spanish-language media company,US,2022,Q2,https://lda.senate.gov/filings/public/filing/3eea497a-0ebb-4a67-9137-6589fd5d29b7/print/,30000,,,,155965,48827,48827-155965,34528
EVC,ENTRAVISION COMMUNICATIONS CORPORATION,diversified Spanish-language media company,US,2022,Q3,https://lda.senate.gov/filings/public/filing/dbc75da2-1f1e-4f7b-a521-aa7e255c3e9f/print/,30000,,,,155965,48827,48827-155965,34528
EVC,ENTRAVISION COMMUNICATIONS CORPORATION,diversified Spanish-language media company,US,2022,Q4,https://lda.senate.gov/filings/public/filing/14b2dad5-1885-4fc0-b035-e2fb0e42a5cf/print/,30000,,,,155965,48827,48827-155965,34528
