symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
PL,PLANET LABS PBC,American public Earth imaging company,US,2022,Q2,https://lda.senate.gov/filings/public/filing/539994af-5883-4335-b94d-849d633e53cd/print/,60000,,,,51281,13836,13836-51281,32316
PL,PLANET LABS PBC,American public Earth imaging company,US,2022,Q3,https://lda.senate.gov/filings/public/filing/63c313bf-e16c-4e95-9110-99949642d777/print/,50000,,,,51281,13836,13836-51281,32316
PL,PLANET LABS PBC,American public Earth imaging company,US,2022,Q4,https://lda.senate.gov/filings/public/filing/351b8b4b-b4f3-49b6-bc29-55d7e6496188/print/,50000,,,,51281,13836,13836-51281,32316
PL,PLANET LABS PBC,Aerospace and data analytics company,US,2022,Q2,https://lda.senate.gov/filings/public/filing/58379fb1-7eb8-4a8c-82b6-829dc662e4f2/print/,,290000,,,51611,401106659,401106659-51611,
PL,PLANET LABS PBC,Aerospace and data analytics company,US,2022,Q3,https://lda.senate.gov/filings/public/filing/ae3a3e5c-5b26-4aa3-8d2a-89d9ab0891c7/print/,,250000,,,51611,401106659,401106659-51611,
PL,PLANET LABS PBC,Aerospace and data analytics company,US,2022,Q4,https://lda.senate.gov/filings/public/filing/cf8670ec-4b1f-4bd6-809d-9e8beade7393/print/,,140000,,,51611,401106659,401106659-51611,
