symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
UMH,"UMH PROPERTIES, INC.","UMH Properties, Inc. owns and operates manufactured housing communities nationwide.",US,2022,Q2,https://lda.senate.gov/filings/public/filing/932b52cc-f183-4090-b5e5-2ca41a680e39/print/,20000,,,,51436,400833471,400833471-51436,400833471
UMH,"UMH PROPERTIES, INC.","UMH Properties, Inc. owns and operates manufactured housing communities nationwide.",US,2022,Q3,https://lda.senate.gov/filings/public/filing/601ddff9-9f6d-4b9a-82a5-5160af4124fb/print/,30000,,,,51436,400833471,400833471-51436,400833471
UMH,"UMH PROPERTIES, INC.","UMH Properties, Inc. owns and operates manufactured housing communities nationwide.",US,2022,Q4,https://lda.senate.gov/filings/public/filing/fe7e2e46-1068-45ba-9615-699dbaad272b/print/,30000,,,,51436,400833471,400833471-51436,400833471
