symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
VSEC,"HAECO SPECIAL SERVICES, LLC",Aircraft engineering,US,2022,Q2,https://lda.senate.gov/filings/public/filing/705a47c3-da30-4476-a188-784e1ea25b9d/print/,30000,,,,204331,29777,29777-204331,30106
VSEC,"HAECO SPECIAL SERVICES, LLC",Aircraft engineering,US,2022,Q3,https://lda.senate.gov/filings/public/filing/899b39e4-a55f-400d-a6f7-e7124d75004d/print/,30000,,,,204331,29777,29777-204331,30106
VSEC,"HAECO SPECIAL SERVICES, LLC",Aircraft engineering,US,2022,Q4,https://lda.senate.gov/filings/public/filing/afa11ba4-6e55-4f07-8a2c-b4649d2802bd/print/,30000,,,,204331,29777,29777-204331,30106
