symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
ARCB,"ABF FREIGHT SYSTEMS, INC.",Trucking and Logistics,US,2022,Q2,https://lda.senate.gov/filings/public/filing/a43f0bd0-2466-4006-9427-5ba6eaac97b3/print/,50000,,,,198273,401103236,401103236-198273,401103236
ARCB,"ABF FREIGHT SYSTEMS, INC.",Trucking and Logistics,US,2022,Q3,https://lda.senate.gov/filings/public/filing/dc333444-4eee-4eff-b4a9-a9df93e2fce5/print/,50000,,,,198273,401103236,401103236-198273,401103236
ARCB,"ABF FREIGHT SYSTEMS, INC.",Trucking and Logistics,US,2022,Q4,https://lda.senate.gov/filings/public/filing/6515371c-219b-4d2a-95f6-52c2526a863b/print/,50000,,,,198273,401103236,401103236-198273,401103236
ARCB,ARCBEST,Transportation,US,2022,Q2,https://lda.senate.gov/filings/public/filing/f629bdf7-c3b1-45c6-bd77-77e9a6820ed9/print/,40000,,,,201832,401104434,401104434-201832,401104434
ARCB,ARCBEST,Transportation,US,2022,Q3,https://lda.senate.gov/filings/public/filing/8cb008e7-7127-4a7e-9eb2-67ad08ae1afc/print/,40000,,,,201832,401104434,401104434-201832,401104434
ARCB,ARCBEST,Transportation,US,2022,Q4,https://lda.senate.gov/filings/public/filing/e2a08357-9950-4284-8b57-4b7c7fe2ec6c/print/,40000,,,,201832,401104434,401104434-201832,401104434
