symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
MTRN,MATERION BRUSH INC.,supplier of engineered materials including beryllium-based products,US,2022,Q2,https://lda.senate.gov/filings/public/filing/d06dc7f0-db38-434d-bb76-acec116ce354/print/,140000,,,,184270,313511,313511-184270,39139
MTRN,MATERION BRUSH INC.,supplier of engineered materials including beryllium-based products,US,2022,Q3,https://lda.senate.gov/filings/public/filing/a7b25765-15c0-4c40-8fe7-ad4f29639c5d/print/,140000,,,,184270,313511,313511-184270,39139
MTRN,MATERION BRUSH INC.,supplier of engineered materials including beryllium-based products,US,2022,Q4,https://lda.senate.gov/filings/public/filing/8d461818-df6a-4b97-93c6-1e1a008fa2cb/print/,140000,,,,184270,313511,313511-184270,39139
